rep	theta	fst1	fst2	b2_e1	b2_e2
13	0.4277795200213573	0.6	0.125	0.9892202391639746	0.8211649452855803
13	0.8	0.6	0.25	0.9867634458696132	0.975036749658239
13	0.8	0.6	0.5	0.011890648287764947	0.012045784447428811
13	0.8	0.6	0.125	0.9893097336583745	0.9583804685799815
14	0.010000000000000005	0.6	0.25	0.3557905521956137	2.721512346959682e-05
14	0.010000000000000005	0.6	0.5	0.3173332763947828	0.00384339724009721
14	0.010000000000000005	0.6	0.125	0.21508064068812588	2.8211873957633193e-06
14	0.01870122253538597	0.6	0.25	0.6647225982737894	0.00034314111076530853
14	0.01870122253538597	0.6	0.5	0.7193911339526904	0.00012462565352042095
14	0.01870122253538597	0.6	0.125	0.6561125118516317	9.739230904875921e-06
14	0.03497357243180281	0.6	0.25	0.8487959076192587	0.006659093157253812
14	0.03497357243180281	0.6	0.5	0.845950908422419	0.00017683792037713556
14	0.03497357243180281	0.6	0.125	0.864437570598223	0.0005597110283376155
14	0.06540485609045843	0.6	0.25	0.9313710941165988	0.0017531981758841396
14	0.06540485609045843	0.6	0.5	0.9179645430044457	0.5689593489286324
14	0.06540485609045843	0.6	0.125	0.9169385248009507	0.0011737152802894424
14	0.12231507686425569	0.6	0.25	0.9605635870895273	0.46578493726322695
14	0.12231507686425569	0.6	0.5	0.9611907995994765	0.8395179928644063
14	0.12231507686425569	0.6	0.125	0.9665228894386058	0.00014357065840059352
14	0.22874414718712846	0.6	0.25	0.9790189041773699	0.8331302325237334
14	0.22874414718712846	0.6	0.5	0.978460085041643	0.9282310187192375
14	0.22874414718712846	0.6	0.125	0.9801531496845498	0.46345678594071293
14	0.4277795200213573	0.6	0.25	0.9863598007256954	0.9393628481540536
14	0.4277795200213573	0.6	0.5	0.9871942336466383	0.9671565999936335
14	0.4277795200213573	0.6	0.125	0.9878723837142787	0.8557782144330973
14	0.8	0.6	0.25	0.9889619293189528	0.9746171597957458
14	0.8	0.6	0.5	0.04254818841157346	0.042140018557557876
14	0.8	0.6	0.125	0.9904356674466976	0.9543351329642298
15	0.010000000000000005	0.6	0.25	0.13120282593517169	1.0128396988586773e-05
15	0.010000000000000005	0.6	0.5	0.22330493492517994	0.002841382510961477
15	0.010000000000000005	0.6	0.125	0.004108153626740992	0.00036792391968417407
15	0.01870122253538597	0.6	0.25	0.7050175949713031	8.681104767050285e-05
15	0.01870122253538597	0.6	0.5	0.6249885485299285	4.3594899819006046e-05
15	0.01870122253538597	0.6	0.125	0.6111987424170294	7.779053368732134e-06
15	0.03497357243180281	0.6	0.25	0.8512325762005323	0.0029542736623842567
15	0.03497357243180281	0.6	0.5	0.8405051632622653	0.0031686108480849908
15	0.03497357243180281	0.6	0.125	0.8857604355259748	9.984575115161104e-05
15	0.06540485609045843	0.6	0.25	0.9352334143247925	0.00885811623955722
15	0.06540485609045843	0.6	0.5	0.9143586579857641	0.6506902622074116
15	0.06540485609045843	0.6	0.125	0.92360936304061	0.0011700083606781854
15	0.12231507686425569	0.6	0.25	0.9597484104868065	0.46729499439728966
15	0.12231507686425569	0.6	0.5	0.9669069891753207	0.8099878203366807
15	0.12231507686425569	0.6	0.125	0.9632733959271216	0.002792746198276842
15	0.22874414718712846	0.6	0.25	0.9819152533731511	0.8557822350808058
15	0.22874414718712846	0.6	0.5	0.9783494902562327	0.9164918727299048
15	0.22874414718712846	0.6	0.125	0.9800464179669054	0.43839616638463813
15	0.4277795200213573	0.6	0.25	0.9878627162125155	0.9274907483759934
15	0.4277795200213573	0.6	0.5	0.9816035955572137	0.9690485736190507
15	0.4277795200213573	0.6	0.125	0.9867509300371492	0.8116857214111775
15	0.8	0.6	0.25	0.9866521906891154	0.9768086543978277
15	0.8	0.6	0.5	0.23726041853281776	0.23693550044325215
15	0.8	0.6	0.125	0.9878488956248737	0.9464777720165594
16	0.010000000000000005	0.6	0.25	0.13352223397012697	0.0017909030241922603
16	0.010000000000000005	0.6	0.5	0.3380897404117851	0.00029022804034644403
16	0.010000000000000005	0.6	0.125	0.04606776828617519	1.7110497732693094e-07
16	0.01870122253538597	0.6	0.25	0.6623748847237371	0.0008209307460858029
16	0.01870122253538597	0.6	0.5	0.6349852812079226	0.0032097719253976024
16	0.01870122253538597	0.6	0.125	0.6877763108853413	0.0035674896340642088
16	0.03497357243180281	0.6	0.25	0.8512665740172971	0.0013179259309515719
16	0.03497357243180281	0.6	0.5	0.8497392130449861	0.010430934732653108
16	0.03497357243180281	0.6	0.125	0.8626877549256006	0.002361302334578417
16	0.06540485609045843	0.6	0.25	0.9287700607995163	0.0026511045688424233
16	0.06540485609045843	0.6	0.5	0.9288835642202716	0.5638695848982616
16	0.06540485609045843	0.6	0.125	0.9206513723442914	2.5296391738936167e-05
16	0.12231507686425569	0.6	0.25	0.9623760979661367	0.42962116622481133
16	0.12231507686425569	0.6	0.5	0.9648515437236996	0.8102106341849626
