expFst1 expFst2 Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
0.1 0.01 A3 1000 0.25 1000 1e+06 0.98573176229534 0.735569751649692 0.215968 0.0177139
0.1 0.005 A3 1000 0.25 1000 1e+06 0.986530299954577 0.582595025045324 0.1889525 0.0105389
0.1 0.001 A3 1000 0.25 1000 1e+06 0.986255918357956 0.0295893688539679 0.183183 0.00233423
0.1 0.05 A3 1000 0.25 5000 5e+06 0.995160600373106 0.988396221386376 0.184198 0.0954557
0.1 0.01 A3 1000 0.25 5000 5e+06 0.996409699151293 0.958313547706944 0.179226 0.0194482
0.1 0.005 A3 1000 0.25 5000 5e+06 0.997080426764774 0.912479499174355 0.185279 0.0100325
0.1 0.001 A3 1000 0.25 5000 5e+06 0.997413873126906 0.293865412725506 0.189069 0.00208579
0.1 0.05 A3 1000 0.25 10000 1e+07 0.997895719233722 0.99492950812201 0.1895535 0.0890315
0.1 0.01 A3 1000 0.25 10000 1e+07 0.998467473811579 0.976599812856409 0.1812525 0.0206599
0.1 0.005 A3 1000 0.25 10000 1e+07 0.998635590384035 0.954079144791046 0.1857125 0.0100826
0.1 0.001 A3 1000 0.25 10000 1e+07 0.99864454867901 0.258432038385268 0.180078 0.00205098
0.1 0.05 A4 1000 0.05 500 5e+05 0.913416316684309 0.788045111623731 0.209703 0.0973543
0.1 0.01 A4 1000 0.05 500 5e+05 0.945629050810225 0.24983901969834 0.1601215 0.0179716
0.1 0.005 A4 1000 0.05 500 5e+05 0.950771198782465 0.225124915201648 0.2006565 0.0129127
0.1 0.001 A4 1000 0.05 500 5e+05 0.978946552912961 0.218520972464295 0.206448 -0.00017299
0.1 0.05 A4 1000 0.05 1000 1e+06 0.955601877244392 0.89659520846018 0.1801895 0.0884673
0.1 0.01 A4 1000 0.05 1000 1e+06 0.977830140363175 0.48095548491218 0.1842155 0.0149611
0.1 0.005 A4 1000 0.05 1000 1e+06 0.978654876127041 0.0972851050316025 0.1871345 0.0107985
0.1 0.001 A4 1000 0.05 1000 1e+06 0.97938218513124 0.0286973188861842 0.1945995 0.0038346
0.1 0.05 A4 1000 0.05 5000 5e+06 0.994822344694263 0.977405223844765 0.177666 0.088828
0.1 0.01 A4 1000 0.05 5000 5e+06 0.994622423082342 0.838027773872705 0.191789 0.0224789
0.1 0.005 A4 1000 0.05 5000 5e+06 0.994795994987349 0.697981415902932 0.1819115 0.0108777
0.1 0.001 A4 1000 0.05 5000 5e+06 0.996373163064484 0.025741373891805 0.18061 0.00196273
0.1 0.05 A4 1000 0.05 10000 1e+07 0.997429292336597 0.99233364351842 0.180054 0.0921834
0.1 0.01 A4 1000 0.05 10000 1e+07 0.997864390554817 0.941006651926005 0.1862655 0.0193299
0.1 0.005 A4 1000 0.05 10000 1e+07 0.998170540127004 0.61879824361073 0.182679 0.0110499
0.1 0.001 A4 1000 0.05 10000 1e+07 0.998111610420113 0.108521897214219 0.1821745 0.00196146
0.1 0.05 A4 1000 0.1 500 5e+05 0.946209589357951 0.847957079462223 0.188842 0.0964494
0.1 0.01 A4 1000 0.1 500 5e+05 0.954909991783555 0.153967990886075 0.1876935 0.0198327
0.1 0.005 A4 1000 0.1 500 5e+05 0.970535508556578 0.0191107111886697 0.2090585 0.00873964
